Table 2 
The Derived Parameters of the Radial Oxygen and Nitrogen Abundance Distributions in Galaxies


Galaxy	12+log(O/H)$_{R_{0}}$	O/H Gradient	O/H Gradient	sigma(O/H)	12+log(N/H)$_{R_{0}}$	N/H Gradient	N/H Gradient	sigma(N/H)	
NGC0753	8.67+or-0.08	-0.212+or-0.106	-0.0087+or-0.0043	0.065	8.01+or-0.20	-0.399+or-0.290	-0.0163+or-0.0118	0.177	
NGC0783	8.68+or-0.07	-0.189+or-0.104	-0.0118+or-0.0056	0.031	7.91+or-0.30	-0.274+or-0.434	-0.0171+or-0.0272	0.130	
NGC0925	8.48+or-0.02	-0.473+or-0.037	-0.0334+or-0.0026	0.067	7.45+or-0.04	-0.941+or-0.071	-0.0665+or-0.0050	0.128	
NGC1055	8.62+or-0.04	-0.140+or-0.100	-0.0088+or-0.0063	0.059	7.89+or-0.05	-0.414+or-0.118	-0.0261+or-0.0074	0.070	
NGC1058	8.62+or-0.01	-0.352+or-0.027	-0.0757+or-0.0058	0.055	7.72+or-0.03	-0.751+or-0.069	-0.1613+or-0.0149	0.137	
NGC1068	8.64+or-0.02	-0.121+or-0.051	-0.0116+or-0.0049	0.070	7.94+or-0.04	-0.141+or-0.100	-0.0136+or-0.0096	0.126	
NGC1090	8.61+or-0.03	-0.284+or-0.103	-0.0137+or-0.0050	0.026	7.89+or-0.04	-0.775+or-0.131	-0.0373+or-0.0063	0.033	
NGC1097	8.74+or-0.01	-0.357+or-0.054	-0.0159+or-0.0024	0.030	8.25+or-0.05	-0.997+or-0.209	-0.0445+or-0.0093	0.114	
NGC1232	8.78+or-0.04	-0.573+or-0.068	-0.0253+or-0.0030	0.040	8.12+or-0.10	-1.166+or-0.172	-0.0515+or-0.0076	0.103	
NGC1313	8.21+or-0.03	-0.159+or-0.051	-0.0273+or-0.0087	0.071	6.84+or-0.05	-0.269+or-0.096	-0.0462+or-0.0165	0.132	
NGC1365	8.64+or-0.02	-0.253+or-0.033	-0.0079+or-0.0010	0.064	7.91+or-0.04	-0.622+or-0.080	-0.0193+or-0.0024	0.137	
NGC1512	8.79+or-0.03	-0.461+or-0.048	-0.0374+or-0.0039	0.066	8.42+or-0.05	-1.410+or-0.083	-0.1144+or-0.0067	0.115	
NGC1598	8.74+or-0.03	-0.402+or-0.062	-0.0343+or-0.0053	0.042	8.20+or-0.09	-1.014+or-0.178	-0.0865+or-0.0152	0.122	
NGC1637	8.64+or-0.01	-0.115+or-0.023	-0.0165+or-0.0034	0.062	7.78+or-0.03	-0.170+or-0.067	-0.0236+or-0.0096	0.160	
NGC1642	8.64+or-0.01	-0.154+or-0.024	-0.0094+or-0.0015	0.030	7.86+or-0.02	-0.244+or-0.050	-0.0148+or-0.0031	0.062	
NGC1672	8.67+or-0.02	-0.216+or-0.070	-0.0135+or-0.0044	0.055	8.00+or-0.05	-0.464+or-0.158	-0.0290+or-0.0098	0.119	
NGC2336	8.80+or-0.04	-0.390+or-0.056	-0.0156+or-0.0022	0.041	8.14+or-0.08	-0.725+or-0.121	-0.0290+or-0.0049	0.088	
NGC2403	8.48+or-0.02	-0.524+or-0.043	-0.0538+or-0.0044	0.079	7.47+or-0.03	-1.005+or-0.069	-0.1032+or-0.0071	0.128	
NGC2441	8.54+or-0.01	0.017+or-0.040	0.0011+or-0.0027	0.036	7.67+or-0.03	0.100+or-0.080	0.0068+or-0.0054	0.072	
NGC2442	8.64+or-0.05	-0.079+or-0.072	-0.0058+or-0.0052	0.030	7.87+or-0.14	-0.119+or-0.204	-0.0087+or-0.0150	0.087	
NGC2541	8.45+or-0.02	-0.608+or-0.053	-0.0526+or-0.0046	0.030	0.00+or-0.00	0.000+or-0.000	0.0000+or-0.0000	0.000	
NGC2805	8.51+or-0.03	-0.432+or-0.045	-0.0168+or-0.0017	0.040	7.53+or-0.06	-0.869+or-0.096	-0.0338+or-0.0037	0.087	
NGC2835	8.50+or-0.04	-0.314+or-0.060	-0.0324+or-0.0062	0.057	7.51+or-0.10	-0.633+or-0.149	-0.0652+or-0.0154	0.142	
NGC2841	8.99+or-0.08	-0.607+or-0.172	-0.0363+or-0.0103	0.022	8.81+or-0.20	-1.488+or-0.450	-0.0890+or-0.0269	0.052	
NGC2903	8.82+or-0.03	-0.523+or-0.072	-0.0321+or-0.0044	0.061	8.51+or-0.06	-1.588+or-0.152	-0.0975+or-0.0093	0.121	
NGC2997	8.80+or-0.06	-0.502+or-0.121	-0.0318+or-0.0076	0.060	8.44+or-0.13	-1.503+or-0.274	-0.0950+or-0.0173	0.129	
NGC3020	8.39+or-0.02	-0.558+or-0.041	-0.0554+or-0.0041	0.011	7.27+or-0.07	-1.053+or-0.167	-0.1045+or-0.0167	0.045	
NGC3023	8.34+or-0.08	-0.444+or-0.201	-0.0361+or-0.0163	0.054	7.20+or-0.14	-0.889+or-0.372	-0.0722+or-0.0302	0.100	
NGC3031	8.58+or-0.02	-0.156+or-0.045	-0.0110+or-0.0032	0.043	7.84+or-0.06	-0.464+or-0.116	-0.0327+or-0.0081	0.110	
NGC3184	8.66+or-0.02	-0.176+or-0.037	-0.0130+or-0.0027	0.066	7.86+or-0.04	-0.338+or-0.086	-0.0249+or-0.0063	0.137	
NGC3198	8.60+or-0.04	-0.425+or-0.076	-0.0237+or-0.0042	0.063	7.94+or-0.11	-1.145+or-0.317	-0.0638+or-0.0176	0.091	
NGC3227	8.64+or-0.05	-0.254+or-0.077	-0.0158+or-0.0048	0.056	0.00+or-0.00	0.000+or-0.000	0.0000+or-0.0000	0.000	
NGC3239	8.12+or-0.01	-0.153+or-0.012	-0.0260+or-0.0021	0.005	6.78+or-0.04	-0.275+or-0.064	-0.0467+or-0.0108	0.026	
NGC3310	8.37+or-0.01	-0.101+or-0.023	-0.0117+or-0.0027	0.040	7.27+or-0.02	-0.254+or-0.060	-0.0295+or-0.0070	0.104	
NGC3319	8.50+or-0.02	-0.516+or-0.043	-0.0408+or-0.0034	0.024	0.00+or-0.00	0.000+or-0.000	0.0000+or-0.0000	0.000	
NGC3344	8.72+or-0.02	-0.618+or-0.039	-0.0984+or-0.0063	0.029	8.08+or-0.17	-1.413+or-0.252	-0.2254+or-0.0407	0.044	
NGC3351	8.82+or-0.01	-0.210+or-0.031	-0.0186+or-0.0027	0.038	8.51+or-0.03	-0.678+or-0.094	-0.0599+or-0.0083	0.116	
NGC3359	8.40+or-0.06	-0.271+or-0.108	-0.0179+or-0.0071	0.099	7.43+or-0.09	-0.688+or-0.154	-0.0453+or-0.0102	0.130	
NGC3486	8.60+or-0.02	-0.421+or-0.043	-0.0447+or-0.0046	0.018	7.80+or-0.04	-0.928+or-0.088	-0.0985+or-0.0094	0.036	
NGC3521	8.83+or-0.04	-0.666+or-0.096	-0.0390+or-0.0056	0.048	0.00+or-0.00	0.000+or-0.000	0.0000+or-0.0000	0.000	
NGC3621	8.68+or-0.02	-0.460+or-0.035	-0.0446+or-0.0034	0.050	8.05+or-0.05	-1.298+or-0.095	-0.1260+or-0.0092	0.133	
NGC3631	8.71+or-0.03	-0.414+or-0.077	-0.0256+or-0.0048	0.024	7.94+or-0.05	-0.719+or-0.145	-0.0445+or-0.0090	0.046	
NGC3718	8.60+or-0.19	-0.221+or-0.253	-0.0119+or-0.0136	0.066	0.00+or-0.00	0.000+or-0.000	0.0000+or-0.0000	0.000	
NGC3820	8.64+or-0.01	-0.102+or-0.019	-0.0116+or-0.0022	0.019	7.92+or-0.05	-0.342+or-0.093	-0.0389+or-0.0105	0.092	
NGC3893	8.73+or-0.16	-0.437+or-0.254	-0.0371+or-0.0215	0.028	0.00+or-0.00	0.000+or-0.000	0.0000+or-0.0000	0.000	
NGC3938	8.79+or-0.05	-0.577+or-0.092	-0.0413+or-0.0066	0.031	8.15+or-0.07	-1.204+or-0.141	-0.0861+or-0.0101	0.048	
NGC4030	8.77+or-0.02	-0.258+or-0.036	-0.0156+or-0.0022	0.010	8.05+or-0.08	-0.344+or-0.177	-0.0208+or-0.0107	0.052	
NGC4088	8.71+or-0.04	-0.366+or-0.093	-0.0305+or-0.0078	0.025	7.97+or-0.06	-0.698+or-0.116	-0.0582+or-0.0097	0.032	
NGC4109	8.63+or-0.03	-0.402+or-0.099	-0.0269+or-0.0066	0.056	7.87+or-0.05	-1.152+or-0.154	-0.0770+or-0.0103	0.081	
NGC4254	8.77+or-0.02	-0.353+or-0.034	-0.0316+or-0.0031	0.036	8.09+or-0.05	-0.716+or-0.100	-0.0641+or-0.0090	0.106	
NGC4258	8.54+or-0.03	-0.161+or-0.073	-0.0083+or-0.0037	0.031	7.59+or-0.13	-0.232+or-0.282	-0.0119+or-0.0144	0.120	
NGC4303	8.78+or-0.03	-0.577+or-0.073	-0.0452+or-0.0057	0.062	8.24+or-0.08	-1.370+or-0.189	-0.1073+or-0.0148	0.156	
NGC4321	8.74+or-0.03	-0.219+or-0.048	-0.0118+or-0.0026	0.038	8.04+or-0.06	-0.355+or-0.104	-0.0192+or-0.0056	0.083	
NGC4395	8.19+or-0.05	-0.164+or-0.082	-0.0200+or-0.0100	0.079	6.89+or-0.08	-0.346+or-0.143	-0.0420+or-0.0174	0.136	
NGC4490	8.29+or-0.08	-0.318+or-0.254	-0.0444+or-0.0355	0.058	7.09+or-0.15	-0.560+or-0.449	-0.0781+or-0.0629	0.102	
NGC4501	8.92+or-0.12	-0.424+or-0.242	-0.0299+or-0.0171	0.054	0.00+or-0.00	0.000+or-0.000	0.0000+or-0.0000	0.000	
NGC4535	8.71+or-0.03	-0.299+or-0.064	-0.0163+or-0.0035	0.025	7.97+or-0.03	-0.594+or-0.055	-0.0324+or-0.0030	0.022	
NGC4559	8.53+or-0.03	-0.573+or-0.056	-0.0467+or-0.0046	0.047	0.00+or-0.00	0.000+or-0.000	0.0000+or-0.0000	0.000	
NGC4625	8.58+or-0.01	-0.130+or-0.044	-0.0443+or-0.0151	0.042	7.84+or-0.05	-0.680+or-0.143	-0.2318+or-0.0488	0.127	
NGC4631	8.39+or-0.06	-0.333+or-0.125	-0.0194+or-0.0073	0.077	7.18+or-0.09	-0.480+or-0.169	-0.0280+or-0.0098	0.093	
NGC4651	8.68+or-0.04	-0.469+or-0.096	-0.0343+or-0.0070	0.049	8.02+or-0.10	-1.133+or-0.233	-0.0829+or-0.0170	0.119	
NGC4654	8.66+or-0.04	-0.364+or-0.083	-0.0318+or-0.0073	0.044	7.90+or-0.11	-0.797+or-0.229	-0.0695+or-0.0200	0.120	
NGC4656	8.06+or-0.16	-0.551+or-0.280	-0.0305+or-0.0155	0.084	6.62+or-0.24	-0.634+or-0.409	-0.0351+or-0.0227	0.123	
NGC4713	8.53+or-0.09	-0.771+or-0.250	-0.1325+or-0.0428	0.095	7.60+or-0.14	-1.548+or-0.397	-0.2662+or-0.0679	0.150	
NGC4725	8.83+or-0.37	-0.472+or-0.853	-0.0223+or-0.0404	0.070	0.00+or-0.00	0.000+or-0.000	0.0000+or-0.0000	0.000	
NGC4736	8.57+or-0.03	-0.066+or-0.170	-0.0086+or-0.0224	0.065	0.00+or-0.00	0.000+or-0.000	0.0000+or-0.0000	0.000	
NGC4861	8.00+or-0.06	-0.013+or-0.092	-0.0030+or-0.0210	0.090	6.54+or-0.13	-0.058+or-0.200	-0.0132+or-0.0454	0.193	
NGC5033	8.64+or-0.06	-0.278+or-0.094	-0.0095+or-0.0032	0.090	8.00+or-0.10	-0.599+or-0.130	-0.0206+or-0.0045	0.072	
NGC5055	8.87+or-0.02	-0.490+or-0.031	-0.0337+or-0.0021	0.007	8.42+or-0.10	-1.259+or-0.186	-0.0867+or-0.0129	0.044	
NGC5068	8.57+or-0.04	-0.355+or-0.098	-0.0626+or-0.0173	0.050	7.53+or-0.11	-0.451+or-0.263	-0.0794+or-0.0463	0.134	
NGC5194	8.88+or-0.03	-0.324+or-0.053	-0.0223+or-0.0037	0.062	8.52+or-0.05	-0.704+or-0.102	-0.0484+or-0.0070	0.117	
NGC5236	8.78+or-0.01	-0.221+or-0.028	-0.0256+or-0.0032	0.050	8.34+or-0.03	-0.649+or-0.058	-0.0752+or-0.0068	0.104	
NGC5248	8.64+or-0.03	-0.142+or-0.076	-0.0069+or-0.0037	0.072	7.74+or-0.05	-0.132+or-0.155	-0.0064+or-0.0075	0.146	
NGC5457	8.71+or-0.01	-0.840+or-0.029	-0.0293+or-0.0010	0.076	8.01+or-0.03	-1.760+or-0.056	-0.0613+or-0.0020	0.142	
NGC5474	8.19+or-0.02	-0.008+or-0.086	-0.0019+or-0.0182	0.100	6.82+or-0.03	-0.261+or-0.144	-0.0553+or-0.0303	0.156	
NGC5668	8.52+or-0.03	-0.471+or-0.061	-0.0364+or-0.0047	0.075	7.48+or-0.05	-1.032+or-0.127	-0.0796+or-0.0098	0.147	
NGC6384	8.87+or-0.04	-0.531+or-0.068	-0.0228+or-0.0029	0.029	8.41+or-0.12	-1.172+or-0.197	-0.0504+or-0.0084	0.083	
NGC6691	8.66+or-0.02	-0.152+or-0.052	-0.0077+or-0.0026	0.050	7.98+or-0.06	-0.414+or-0.157	-0.0211+or-0.0080	0.142	
NGC6744	8.88+or-0.03	-0.726+or-0.060	-0.0266+or-0.0022	0.034	8.66+or-0.07	-1.996+or-0.157	-0.0731+or-0.0057	0.087	
NGC6946	8.72+or-0.06	-0.337+or-0.099	-0.0337+or-0.0099	0.061	8.05+or-0.15	-0.751+or-0.237	-0.0751+or-0.0237	0.148	
NGC7331	8.67+or-0.08	-0.222+or-0.193	-0.0097+or-0.0084	0.044	7.75+or-0.09	-0.056+or-0.213	-0.0024+or-0.0092	0.048	
NGC7495	8.61+or-0.01	-0.260+or-0.027	-0.0140+or-0.0015	0.028	7.83+or-0.02	-0.616+or-0.062	-0.0333+or-0.0033	0.064	
NGC7518	8.74+or-0.02	-0.127+or-0.045	-0.0122+or-0.0043	0.034	8.30+or-0.07	-0.514+or-0.136	-0.0496+or-0.0131	0.104	
NGC7529	8.64+or-0.04	-0.232+or-0.067	-0.0303+or-0.0087	0.040	7.97+or-0.13	-0.752+or-0.223	-0.0979+or-0.0290	0.133	
NGC7570	8.58+or-0.03	-0.086+or-0.045	-0.0217+or-0.0114	0.029	7.78+or-0.06	-0.219+or-0.106	-0.0549+or-0.0265	0.068	
NGC7591	8.71+or-0.01	-0.146+or-0.029	-0.0085+or-0.0017	0.024	8.13+or-0.06	-0.400+or-0.114	-0.0234+or-0.0066	0.093	
NGC7678	8.55+or-0.04	-0.079+or-0.078	-0.0048+or-0.0047	0.030	7.64+or-0.14	-0.081+or-0.248	-0.0049+or-0.0149	0.094	
NGC7793	8.50+or-0.02	-0.305+or-0.048	-0.0662+or-0.0104	0.071	7.52+or-0.05	-0.752+or-0.095	-0.1631+or-0.0207	0.135	
IC0010	8.14+or-0.08	0.252+or-0.185	0.4294+or-0.3025	0.094	6.90+or-0.15	0.355+or-0.338	0.6035+or-0.5534	0.165	
IC0193	8.59+or-0.02	-0.139+or-0.064	-0.0083+or-0.0039	0.039	7.80+or-0.05	-0.306+or-0.151	-0.0183+or-0.0090	0.092	
IC0208	8.58+or-0.01	-0.168+or-0.035	-0.0165+or-0.0034	0.036	7.78+or-0.03	-0.422+or-0.083	-0.0416+or-0.0082	0.086	
IC0342	8.83+or-0.04	-0.513+or-0.087	-0.0500+or-0.0085	0.045	8.46+or-0.07	-1.465+or-0.131	-0.1426+or-0.0128	0.068	
IC1132	8.65+or-0.03	-0.390+or-0.059	-0.0323+or-0.0049	0.077	7.69+or-0.06	-0.598+or-0.106	-0.0495+or-0.0087	0.128	
IC2204	8.62+or-0.01	-0.160+or-0.033	-0.0159+or-0.0033	0.024	7.89+or-0.03	-0.387+or-0.086	-0.0384+or-0.0086	0.064	
IC5201	8.35+or-0.07	-0.501+or-0.147	-0.0316+or-0.0093	0.074	7.19+or-0.12	-0.908+or-0.242	-0.0573+or-0.0153	0.122	
IC5309	8.70+or-0.03	-0.058+or-0.066	-0.0059+or-0.0067	0.059	8.08+or-0.09	-0.211+or-0.206	-0.0215+or-0.0210	0.170	
UGC00223	8.53+or-0.02	-0.099+or-0.053	-0.0105+or-0.0057	0.029	7.72+or-0.06	-0.295+or-0.152	-0.0313+or-0.0162	0.084	
UGC01087	8.60+or-0.01	-0.246+or-0.023	-0.0192+or-0.0018	0.026	7.83+or-0.03	-0.609+or-0.058	-0.0475+or-0.0045	0.066	
UGC01862	8.43+or-0.02	-0.094+or-0.039	-0.0194+or-0.0081	0.040	7.42+or-0.04	-0.316+or-0.090	-0.0651+or-0.0186	0.092	
UGC02023	8.13+or-0.19	-0.088+or-0.280	-0.0358+or-0.1128	0.075	6.84+or-0.29	-0.197+or-0.434	-0.0800+or-0.1752	0.115	
UGC02216	8.08+or-0.02	-0.068+or-0.052	-0.0099+or-0.0077	0.024	6.72+or-0.04	-0.124+or-0.094	-0.0181+or-0.0137	0.041	
UGC02345	8.04+or-0.03	-0.893+or-0.085	-0.0885+or-0.0084	0.041	6.63+or-0.11	-0.846+or-0.255	-0.0838+or-0.0253	0.131	
UGC03701	8.41+or-0.01	-0.087+or-0.046	-0.0076+or-0.0040	0.042	7.41+or-0.03	-0.329+or-0.102	-0.0288+or-0.0089	0.092	
UGC04107	8.56+or-0.01	-0.231+or-0.041	-0.0219+or-0.0039	0.045	7.72+or-0.03	-0.498+or-0.087	-0.0470+or-0.0083	0.096	
UGC04305	7.89+or-0.07	-0.225+or-0.137	-0.0573+or-0.0352	0.075	6.41+or-0.13	-0.307+or-0.246	-0.0784+or-0.0629	0.139	
UGC05100	8.58+or-0.05	-0.078+or-0.075	-0.0056+or-0.0053	0.047	7.90+or-0.13	-0.220+or-0.204	-0.0156+or-0.0145	0.119	
UGC06410	8.58+or-0.02	-0.148+or-0.040	-0.0113+or-0.0031	0.057	7.78+or-0.05	-0.454+or-0.093	-0.0345+or-0.0071	0.123	
UGC08091	7.58+or-0.04	0.177+or-0.067	0.5487+or-0.2003	0.055	6.03+or-0.08	0.255+or-0.129	0.7891+or-0.3905	0.108	
UGC09562	8.22+or-0.05	-0.193+or-0.143	-0.0585+or-0.0433	0.080	6.80+or-0.06	-0.206+or-0.144	-0.0626+or-0.0437	0.068	
UGC09837	8.45+or-0.02	-0.412+or-0.076	-0.0370+or-0.0068	0.078	7.32+or-0.04	-0.820+or-0.140	-0.0738+or-0.0126	0.141	
UGC10445	8.27+or-0.04	-0.082+or-0.077	-0.0103+or-0.0096	0.050	7.03+or-0.08	-0.197+or-0.141	-0.0246+or-0.0176	0.091	
UGC12709	8.47+or-0.08	-0.706+or-0.218	-0.0434+or-0.0134	0.082	7.30+or-0.15	-1.089+or-0.418	-0.0669+or-0.0257	0.157	
PGC29167	8.34+or-0.10	0.152+or-0.169	0.0507+or-0.0565	0.040	7.25+or-0.01	0.005+or-0.020	0.0017+or-0.0065	0.005	
PGC41318	8.45+or-0.04	-0.168+or-0.143	-0.0281+or-0.0239	0.033	7.28+or-0.17	-0.563+or-0.568	-0.0941+or-0.0945	0.130	
PGC44772	8.59+or-0.03	-0.268+or-0.045	-0.0216+or-0.0036	0.043	7.79+or-0.07	-0.705+or-0.115	-0.0569+or-0.0093	0.109	
PGC45195	8.14+or-0.04	-0.152+or-0.059	-0.0122+or-0.0047	0.035	6.81+or-0.08	-0.277+or-0.104	-0.0223+or-0.0084	0.061	
PGC46182	8.59+or-0.03	-0.126+or-0.078	-0.0089+or-0.0055	0.035	7.92+or-0.11	-0.462+or-0.313	-0.0327+or-0.0221	0.141	
